23,feature_vocab_ngram,agre
92,feature_vocab_ngram,ban
103,feature_vocab_ngram,beaner
170,feature_vocab_ngram,burn
199,feature_vocab_ngram,celebr
234,feature_vocab_ngram,color
242,feature_vocab_ngram,complain
323,feature_vocab_ngram,deport
328,feature_vocab_ngram,destroy
368,feature_vocab_ngram,dyke
410,feature_vocab_ngram,evil
432,feature_vocab_ngram,fag
433,feature_vocab_ngram,faggot
493,feature_vocab_ngram,fuck
495,feature_vocab_ngram,fuckin
598,feature_vocab_ngram,homophob
662,feature_vocab_ngram,isl
663,feature_vocab_ngram,islam
859,feature_vocab_ngram,multicultur
862,feature_vocab_ngram,muslim
888,feature_vocab_ngram,nig
892,feature_vocab_ngram,nigger
917,feature_vocab_ngram,offici
957,feature_vocab_ngram,peac
1007,feature_vocab_ngram,preach
1054,feature_vocab_ngram,racist
1086,feature_vocab_ngram,refuge
1108,feature_vocab_ngram,retard
1139,feature_vocab_ngram,safe
1251,feature_vocab_ngram,stfu
1359,feature_vocab_ngram,tranni
1400,feature_vocab_ngram,usual
1482,feature_vocab_ngram,wors
1597,feature_vocab_2skip_bigram,"('a', 'lame')"
1638,feature_vocab_2skip_bigram,"('a', 'racist')"
1717,feature_vocab_2skip_bigram,"('about', 'thi')"
1720,feature_vocab_2skip_bigram,"('about', 'your')"
1852,feature_vocab_2skip_bigram,"('and', 'die')"
1871,feature_vocab_2skip_bigram,"('and', 'hi')"
2133,feature_vocab_2skip_bigram,"('ban', 'muslim')"
2135,feature_vocab_2skip_bigram,"('ban', 'now')"
2158,feature_vocab_2skip_bigram,"('bani', 'slam')"
2406,feature_vocab_2skip_bigram,"('burn', 'in')"
2528,feature_vocab_2skip_bigram,"('countri', 'ban')"
2561,feature_vocab_2skip_bigram,"('destroy', 'am')"
2562,feature_vocab_2skip_bigram,"('destroy', 'isl')"
2605,feature_vocab_2skip_bigram,"('dont', 'hate')"
2626,feature_vocab_2skip_bigram,"('dont', 'u')"
2660,feature_vocab_2skip_bigram,"('evil', 'not')"
2773,feature_vocab_2skip_bigram,"('fuck', 'ass')"
2801,feature_vocab_2skip_bigram,"('full', 'of')"
